Matthew Smith created at (48, 44) with id: 157, gender: male, age: 38, health: 45, wealth: 33, happiness: 39
and personality traits:  Openness: 31, Conscientiousness: 54, Extrovertedness: 22, Agreeableness: 48, Neuroticism: 27
Towards Mia Carter has Love: 70, Respect: 36
Towards Benjamin Alexander has Love: 58, Respect: 34
Towards Benjamin Gonzalez has Love: 43, Respect: 24
Towards Andrew Rivera has Love: 63, Respect: 33
Towards Paul Cook has Love: 40, Respect: 22
Towards Tyler Young has Love: 43, Respect: 36
Towards Christopher Tucker has Love: 47, Respect: 26
Towards Natalie Perez has Love: 42, Respect: 23
Towards Lillian Young has Love: 55, Respect: 35
Towards Christopher Young has Love: 33, Respect: 24
Towards Emma Richardson has Love: 61, Respect: 35
Towards Michael Morales has Love: 57, Respect: 36
Towards Benjamin Jackson has Love: 48, Respect: 25
Towards Nathan Carter has Love: 47, Respect: 30
Towards Hannah Fisher has Love: 46, Respect: 27
Towards Samantha Carter has Love: 54, Respect: 35
Towards Grace Graham has Love: 53, Respect: 36
Towards Logan Wright has Love: 59, Respect: 32
Towards Benjamin Flores has Love: 45, Respect: 24
Towards Joseph Jackson has Love: 44, Respect: 37
Towards Ava Young has Love: 36, Respect: 28
Towards Chloe Jones has Love: 44, Respect: 27
Towards Daniel Perez has Love: 41, Respect: 24
Towards Daniel Morales has Love: 45, Respect: 36
Towards Victoria Turner has Love: 43, Respect: 24
Towards Mark Wright has Love: 29, Respect: 24
Towards John Stewart has Love: 48, Respect: 33
Towards Avery Richardson has Love: 57, Respect: 30
Towards Gabriel Jackson has Love: 47, Respect: 30
Towards Daniel Murphy has Love: 42, Respect: 29
Towards Michael Lopez has Love: 41, Respect: 27
Towards Mark Nguyen has Love: 49, Respect: 32
Towards Ava Martinez has Love: 26, Respect: 24
Idled
Year: 2, Day: 339
Insulted Mia Brown
Talked to Ava Miller
Talked to Ava Miller
Idled
Year: 2, Day: 340
Attended party by Matthew Nguyen
Idled
Idled
Idled
Year: 2, Day: 341
Towards Evelyn Young has Love: 39, Respect: 26
Idled
Towards Emma Lee has Love: 48, Respect: 37
Idled
Idled
Year: 2, Day: 342
Idled
Idled
Towards James Porter has Love: 35, Respect: 28
Talked to Ava Williams
Year: 2, Day: 343
Insulted by Madison Allen
Insulted by Scarlett Taylor
Talked to Christopher Tucker
Idled
Idled
Idled
Year: 2, Day: 344
Idled
Idled
Talked to Gabriel Jackson
Year: 2, Day: 345
Towards Christopher Collins has Love: 52, Respect: 32
Idled
Worked with Mark Tran
Idled
Year: 2, Day: 346
Idled
Idled
Talked to Christopher Bryant
Year: 2, Day: 347
Idled
Attended party by Chloe Jones
Insulted Grace Graham
Talked to Hannah Jones
Insulted by Nathan Parker
Talked to Emma Lee
Idled
Year: 2, Day: 348
Attended party by Christopher Allen
Idled
Insulted by Gabriel Wright
Talked to Madison Perez
Idled
Towards Matthew Gonzalez has Love: 37, Respect: 31
Talked to Hannah Fisher
Idled
Year: 2, Day: 349
Idled
Idled
Talked to Andrew Rivera
Idled
Year: 2, Day: 350
Insulted Paul Rivera
Attended party by Matthew Nguyen
Talked to Chloe Cook
Idled
Attended party by Hannah Jones
Attended party by Victoria Nguyen
Worked with Madison Taylor
Year: 2, Day: 351
Idled
Talked to Benjamin Porter
Talked to Natalie Hall
Hurt by Emma Morris
Idled
Hurt Benjamin Flores
Year: 2, Day: 352
Idled
Idled
Idled
Year: 2, Day: 353
Talked to John Miller
Idled
Insulted Ella Edwards
Talked to Emily Nguyen
Year: 2, Day: 354
Idled
Idled
Insulted by Emily Nguyen
Idled
Year: 2, Day: 355
Idled
Idled
Idled
Year: 2, Day: 356
Worked with Brandon Collins
Idled
Idled
Year: 2, Day: 357
Idled
Insulted Scarlett Porter
Attended party by Brandon Collins
Worked with Christopher Murphy
Year: 2, Day: 358
Hurt Paul Rivera
Idled
Hurt by Nathan Miller
Idled
Year: 2, Day: 359
Idled
Idled
Idled
Year: 2, Day: 360
Insulted by Natalie Flores
Hurt by Paul Rivera
Talked to Hannah Fisher
Insulted by Christopher Bryant
Worked with Hannah Alexander
Idled
Idled
Year: 2, Day: 361
Insulted by Olivia Richardson
Worked with Logan Wright
Talked to Tyler Morales
Towards Mark Jackson has Love: 35, Respect: 34
Idled
Idled
Year: 2, Day: 362
Talked to Olivia Richardson
Idled
Idled
Attended party by Joseph Jackson
Insulted by Benjamin Porter
Idled
Year: 2, Day: 363
Idled
Idled
Idled
Year: 2, Day: 364
Idled
Attended party by Ava Young
Attended party by Paul Cook
Insulted Daniel Parker
Idled
Year: 2, Day: 365
Idled
Idled
Idled
